[00001] base 0x72FA513B40 (value 162304976) -> ptr 0xB400007369A6E090 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00002] base 0x72FA5130F0 (value 162318608) -> ptr 0xB400007369A6BB70 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00003] base 0x72FA8E1D80 (value 177000001) -> ptr 0xB400007339D004D0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00004] base 0x72FA8E1790 (value 177000002) -> ptr 0xB400007339D04F10 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00005] base 0x72FA8E1420 (value 177000003) -> ptr 0xB400007339D05750 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00006] base 0x72FA8E1D30 (value 177000004) -> ptr 0xB400007339D069E0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00007] base 0x72FA8E15B0 (value 177000005) -> ptr 0xB400007339D040A0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00008] base 0x72FA8E1880 (value 177000006) -> ptr 0xB4000073397CA770 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00009] base 0x72FA8E0F20 (value 177000007) -> ptr 0xB400007339D04410 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00010] base 0x72FA8E1CE0 (value 177000008) -> ptr 0xB400007339D0B580 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00011] base 0x72FA8E1240 (value 177000009) -> ptr 0xB400007339D04150 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00012] base 0x72FA8E1B50 (value 177000010) -> ptr 0xB400007339D04A40 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00013] base 0x72FA8E17E0 (value 177000011) -> ptr 0xB400007339D00E70 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00014] base 0x72FA8E1A60 (value 177000012) -> ptr 0xB400007339D058B0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00015] base 0x72FA8E1C90 (value 177000013) -> ptr 0xB400007339D07380 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00016] base 0x72FA8E1650 (value 177000014) -> ptr 0xB400007339D05D80 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00017] base 0x72FA8E1010 (value 177000015) -> ptr 0xB400007339D02520 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00018] base 0x72FA8E18D0 (value 177000016) -> ptr 0xB400007339D03650 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00019] base 0x72FA8E10B0 (value 177000017) -> ptr 0xB400007339D05490 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00020] base 0x72FA8E1E20 (value 177000018) -> ptr 0xB400007339D065C0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00021] base 0x72FA8E16A0 (value 177000019) -> ptr 0xB400007339CEC730 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00022] base 0x72FA8E12E0 (value 177000020) -> ptr 0xB400007339D03700 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00023] base 0x72FA8E1A10 (value 177000021) -> ptr 0xB400007339CEA8F0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00024] base 0x72FA8E1970 (value 177000022) -> ptr 0xB400007339D01FA0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00025] base 0x72FA8E0E30 (value 177000023) -> ptr 0xB400007339D02100 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00026] base 0x72FA8E1DD0 (value 177000024) -> ptr 0xB400007339D03D30 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00027] base 0x72FA8E11A0 (value 177000025) -> ptr 0xB400007339D03230 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00028] base 0x72FA8E1740 (value 177000026) -> ptr 0xB400007339D051D0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00029] base 0x72FA8E1060 (value 177000027) -> ptr 0xB400007339D0BC60 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00030] base 0x72FA8E1AB0 (value 177000028) -> ptr 0xB400007339CF6AD0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00031] base 0x72FA8E1290 (value 177000029) -> ptr 0xB400007339CFFC90 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00032] base 0x72FA8E1830 (value 177000030) -> ptr 0xB400007339D016B0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00033] base 0x72FA8E1920 (value 177000031) -> ptr 0xB400007339D048E0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00034] base 0x72FA8E11F0 (value 177000032) -> ptr 0xB400007339D07F30 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00035] base 0x72FA8E0F70 (value 177000033) -> ptr 0xB400007339CF2E50 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00036] base 0x72FA8E1B00 (value 177000034) -> ptr 0xB400007339D02730 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00037] base 0x72FA8E2AA0 (value 177000035) -> ptr 0xB400007339D027E0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00038] base 0x72FA8E2A00 (value 177000036) -> ptr 0xB400007339D042B0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00039] base 0x72FA8E2190 (value 177000037) -> ptr 0xB400007339D01EF0 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00040] base 0x72FA8E2780 (value 177000038) -> ptr 0xB400007339D02680 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00041] base 0x72FA8E2000 (value 177000039) -> ptr 0xB400007339D03A70 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
[00042] base 0x72FA8E2500 (value 177000040) -> ptr 0xB400007339D01D90 | +4:114 +12:114 +20:-1275068302 +60:-1275068301
